id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso,rnf_relacionado,justificacion
1001,2025-01-01,Portal Citas,Usuario no logra agendar tras 2 intentos,Paciente,Quito,Satisfacción,RNF-02 (Pasos del Portal),"Incapacidad del usuario de lograr su meta tras múltiples intentos, violando el RNF-02 y provocando un alto nivel de frustración."
1002,2025-01-02,HCE,Orden medica no se sincroniza con el modulo de farmacia,Medico,Guayaquil,Efectividad,Integración Funcional,Error de integración funcional que impide la sincronización y actualización del registro médico entre módulos del HIS.
1003,2025-01-03,Portal Citas,Doble reserva de un mismo cupo por dos pacientes distintos,Paciente,Cuenca,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Doble agendamiento de un mismo cupo que genera sobreventa de citas, colapso de agenda de especialistas y multas o insatisfacción comercial."
1004,2025-01-04,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Ambato,Efectividad,Integración de Datos,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1005,2025-01-05,Portal Citas,Tiempo de espera en el portal supera los 18s en horas pico,Paciente,Manta,Eficiencia,Eficiencia Operativa,"El sistema presenta tiempos de respuesta elevados que consumen recursos de tiempo innecesarios, degradando la eficiencia del usuario en sus tareas."
1006,2025-01-06,HCE,Firma electronica del medico no se valida al cerrar la consulta,Medico,Quito,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
1007,2025-01-07,Telemedicina,El medico no puede compartir pantalla con resultados de examenes,Paciente,Guayaquil,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1008,2025-01-08,Telemedicina,La sesion se cierra automaticamente antes de terminar la consulta,Paciente,Cuenca,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Telemedicina que impide al usuario completar sus tareas de manera precisa y completa.
1009,2025-01-09,Imagenologia,El informe radiologico no se adjunta automaticamente a la HCE,Radiologo,Ambato,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Imagenologia que impide al usuario completar sus tareas de manera precisa y completa.
1010,2025-01-10,Portal Citas,Cancelacion de cita no libera el cupo en el calendario,Paciente,Manta,Efectividad,Funcionalidad,Falla de funcionalidad en el módulo Portal Citas que impide al usuario completar sus tareas de manera precisa y completa.
1011,2025-01-11,Reportes Gerenciales,Discrepancia entre el reporte financiero y el modulo de facturacion,Gerencia,Quito,Libertad de Riesgo,RNF-03 (Errores de Facturación),"Discrepancia contable entre reportes directivos y facturación real, afectando las decisiones del negocio y la integridad de las auditorías."
1012,2025-01-12,Portal Citas,El pago del bono de consulta no se refleja tras completarlo,Paciente,Guayaquil,Libertad de Riesgo,RNF-03 (Errores de Facturación),Inconsistencia financiera en los cobros o transacciones del sistema que infringe las normativas contables y expone al hospital a pérdidas económicas.
1013,2025-01-13,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Cuenca,Satisfacción,RNF-05 (Disponibilidad de llamada),Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
