id,fecha,modulo,descripcion,rol_usuario,sede,caracteristica_iso_25022,justificacion_tecnica
1210,1/2/2025,HCE,Historial de alergias no carga al abrir la ficha del paciente,Medico,Guayaquil,Libertad de Riesgo,"Falla crítica que expone la seguridad del paciente al omitir información vital de alergias, con un alto riesgo de shock anafiláctico o mala praxis."
1509,1/2/2025,Portal Citas,El sistema no envia la confirmacion por correo electronico,Admision,Guayaquil,Efectividad,Falla funcional que impide completar la tarea de confirmación de cita al paciente por canal de correo electrónico.
1786,1/2/2025,Farmacia,Duplicidad de codigos entre dos presentaciones distintas de un mismo farmaco,Farmacia,Quito,Libertad de Riesgo,"La duplicación de códigos de fármacos introduce un riesgo de dispensación errónea en farmacia, comprometiendo la seguridad terapéutica del paciente."
2017,1/2/2025,Portal Citas,"Formulario confuso, abandono de registro antes de completar la cita",Admision,Quito,Satisfacción,"Diseño de interfaz de usuario confuso que provoca el abandono del registro, afectando la métrica de satisfacción y facilidad de uso percibida."
2020,1/2/2025,Facturacion,El sistema no reconoce el convenio con la aseguradora,Admision,Quito,Libertad de Riesgo,El no reconocimiento de convenios de aseguradoras genera fricción de cobro y riesgo de pérdidas económicas por servicios no cubiertos correctamente.
2209,1/2/2025,Facturacion,El sistema no permite anular una factura emitida por error,Paciente,Quito,Efectividad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
2416,1/2/2025,HCE,Signos vitales registrados por enfermeria no aparecen en la HCE del medico,Medico,Quito,Efectividad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
3137,1/2/2025,Telemedicina,El chat de la consulta no permite enviar imagenes,Paciente,Ambato,Efectividad,Restricción de funcionalidad que impide al usuario realizar una acción requerida para completar su tarea.
3262,1/2/2025,Telemedicina,Audio desincronizado durante la teleconsulta,Paciente,Quito,Satisfacción,Mala experiencia sensorial e interactiva durante la teleconsulta que impacta el RNF-05 y la percepción de calidad del servicio.
3291,1/2/2025,HCE,Perdida de la nota de evolucion tras un cierre inesperado de sesion,Medico,Cuenca,Efectividad,Falla de funcionalidad en el módulo HCE que impide al usuario completar sus tareas de manera precisa y completa.
3846,1/2/2025,HCE,Datos de otro paciente visibles brevemente al abrir un expediente,Enfermeria,Manta,Libertad de Riesgo,"Fuga de información y violación de la confidencialidad médica (HIPAA/Ley de Protección de Datos), exponiendo datos de otros pacientes."
