respuesta_id,sede,rol,puntaje_csat,comentario
1,Quito,Medico,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
2,Ambato,Medico,4,El sistema permitio completar la tarea con pocas fricciones.
3,Manta,Gerencia,4,El sistema permitio completar la tarea con pocas fricciones.
4,Guayaquil,Enfermeria,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
5,Manta,Paciente,5,"Experiencia fluida, clara y confiable durante la tarea."
6,Ambato,Enfermeria,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
7,Cuenca,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
8,Quito,Enfermeria,4,El sistema permitio completar la tarea con pocas fricciones.
9,Guayaquil,Gerencia,4,El sistema permitio completar la tarea con pocas fricciones.
10,Quito,Enfermeria,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
11,Cuenca,Paciente,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
12,Guayaquil,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
13,Ambato,Paciente,4,El sistema permitio completar la tarea con pocas fricciones.
14,Cuenca,Gerencia,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
15,Quito,Medico,4,El sistema permitio completar la tarea con pocas fricciones.
16,Quito,Medico,2,"La tarea se completo, pero con errores o demasiada espera."
17,Cuenca,Paciente,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
18,Cuenca,Farmacia,4,El sistema permitio completar la tarea con pocas fricciones.
19,Guayaquil,Medico,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
20,Cuenca,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
21,Cuenca,Medico,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
22,Cuenca,Admision,5,"Experiencia fluida, clara y confiable durante la tarea."
23,Guayaquil,Admision,2,"La tarea se completo, pero con errores o demasiada espera."
24,Guayaquil,Farmacia,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
25,Cuenca,Paciente,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
26,Manta,Enfermeria,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
27,Quito,Farmacia,4,El sistema permitio completar la tarea con pocas fricciones.
28,Guayaquil,Paciente,2,"La tarea se completo, pero con errores o demasiada espera."
29,Cuenca,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
30,Ambato,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
31,Ambato,Gerencia,4,El sistema permitio completar la tarea con pocas fricciones.
32,Manta,Gerencia,5,"Experiencia fluida, clara y confiable durante la tarea."
33,Ambato,Gerencia,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
34,Guayaquil,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
35,Cuenca,Enfermeria,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
36,Cuenca,Paciente,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
37,Guayaquil,Gerencia,4,El sistema permitio completar la tarea con pocas fricciones.
38,Ambato,Admision,4,El sistema permitio completar la tarea con pocas fricciones.
39,Quito,Gerencia,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
40,Cuenca,Gerencia,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
41,Cuenca,Medico,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
42,Manta,Enfermeria,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
43,Ambato,Medico,3,"Experiencia aceptable, aunque requiere mejoras en claridad y tiempos."
